"","mz","LogRT"
"1",508.0030215,7.267832268
"2",665.1242231,7.46338324
"3",666.1320481,6.720995082
"4",746.0983785,7.145682128
"5",745.0905535,7.838929824
"6",428.0366912,6.983485981
"7",98.98417152,7.093998249
"8",768.1224848,6.881199224
"9",178.9505019,7.295205128
"10",405.0094733,7.029212021
"11",508.00199306723,6.03849275244049
"12",507.998453424037,7.85618099567478
"13",508.001661029705,7.42026912638422
"14",507.999181425094,7.21016698282813
"15",508.004862875575,7.54653787322265
"16",507.9970001213,7.58295314649044
"17",508.002147008723,7.3495431266726
"18",508.003271274839,7.6144188144797
"19",508.004094306292,8.04107924324964
"20",508.003518432649,7.82526805016566
"21",665.133966118756,7.52486754151724
"22",665.121858375107,7.59569007662573
"23",665.124589174944,7.39619945221819
"24",665.1172093509,5.83167417105762
"25",665.12772733693,8.07438982852072
"26",665.128243487963,7.33584184038341
"27",665.122063182211,6.57471973900758
"28",665.125604399509,7.17451207755353
"29",665.124843139183,6.49527162564119
"30",665.134727596464,6.94409936882519
"31",666.136787811521,7.16786940607667
"32",666.132606095326,5.56333335965771
"33",666.125612331678,6.82682428761291
"34",666.132961253869,6.22010123672669
"35",666.133397130908,5.90041064130631
"36",666.131517895795,6.71099478185862
"37",666.132367144803,5.92646667184229
"38",666.141427060495,6.3194528225184
"39",666.130019970733,5.95516418535336
"40",666.132840361797,7.26735485280609
"41",746.097628972823,7.07612580490062
"42",746.099947184344,7.06816551497437
"43",746.089587649014,8.03938954539492
"44",746.095801640199,7.77330679656104
"45",746.094883023575,7.8009070207893
"46",746.097728182412,6.62813828777301
"47",746.104947186931,6.40571031290605
"48",746.099589973713,7.05186577711083
"49",746.094955192579,7.13712074860621
"50",746.107530244381,8.1648395890269
"51",745.094987937604,8.44537423280259
"52",745.098915397723,8.66092174343368
"53",745.092563325867,8.16113428276477
"54",745.088450994999,8.90531675741024
"55",745.090630933103,8.34409293571736
"56",745.083402451594,8.26853221767671
"57",745.084231932811,7.8820460294478
"58",745.087338599926,7.8653070909085
"59",745.094417920845,8.03848453631336
"60",745.095562511514,7.65705376203216
"61",428.036605695999,7.26776256000005
"62",428.029243805036,7.04193677056187
"63",428.043565180292,6.95249937275993
"64",428.034980243526,8.25197630832792
"65",428.035604698945,7.44633689517891
"66",428.033798358832,6.75183967985744
"67",428.032316953825,6.86850581910161
"68",428.036985509338,7.15733452879226
"69",428.033857027022,6.98838332368699
"70",428.040497675245,7.71766598657462
"71",98.9839774902013,6.56416998419981
"72",98.9835149101735,6.7175342210439
"73",98.983783829829,6.46858110386886
"74",98.98406206531,6.51880383447285
"75",98.984571256552,7.19529125867342
"76",98.9828168785144,7.38817173950467
"77",98.9849953654411,6.2617565551785
"78",98.983515514806,8.12491430469106
"79",98.984021739647,7.35008703008979
"80",98.9846796284941,8.88266009424934
"81",768.119126116312,7.40337762723752
"82",768.127986028007,7.27056183335775
"83",768.127997359455,6.15097956794171
"84",768.134930961602,7.67684734621487
"85",768.118988357774,7.53907438322839
"86",768.118847105814,7.42590863913921
"87",768.125787330503,6.72736799346953
"88",768.122175773117,7.18444031481511
"89",768.124198795039,7.2775953607493
"90",768.121978323216,6.44611381782128
"91",178.951663640488,7.06033495054876
"92",178.950017492977,7.64337090294573
"93",178.948895111657,7.53912318518696
"94",178.95071505968,6.37625630023583
"95",178.95044857923,7.77137021384138
"96",178.950331428778,7.91046170028143
"97",178.948641862827,7.85149944746228
"98",178.949252577567,6.52346906114049
"99",178.950703032445,7.03055081610094
"100",178.950504996838,7.83367678004459
"101",405.010595908275,6.90889202001543
"102",405.008708274734,7.33608416450326
"103",405.010714764802,6.87464887411909
"104",405.009678232565,7.04383442335592
"105",405.009888152987,6.87460602160205
"106",405.010669407528,6.59492431775831
"107",405.009535795544,7.33932977854099
"108",405.009045361306,6.50337688259677
"109",405.006272358002,6.33144228267166
"110",405.015298308809,6.91667538568967
"111",405.013012759014,7.34778431903552
"112",405.00949636657,7.82644774378977
"113",405.00815855367,6.94369970496696
"114",405.00990608324,7.10777823769013
"115",405.0103675126,7.86110379396633
"116",405.011708536961,6.60736773326697
"117",405.011607397686,7.38242742017523
"118",405.008009411861,6.12227061970498
"119",405.009566578557,7.60714199311301
"120",405.008489116863,6.62714452992147
"121",405.010259477926,6.25702272246048
"122",405.008764418679,7.29657836755117
"123",405.012242494719,7.55298872433329
"124",405.015331028069,6.48193716326503
"125",405.011629741579,7.05431461386533
"126",405.011029095413,6.93278179530834
"127",405.00955860823,7.36195032686085
"128",405.011981574042,7.00435120059636
"129",405.009810609314,7.07070769630636
"130",405.009817166368,7.76929297608379
