"theoretical.mz","LogRT","KEGG.id","adduct"
581.456678754935,5.44877497752393,"C14631","2M+H"
986.257938227757,7.41312102816542,"C16242","M+Na"
238.144464418012,5.64841761833333,"C09445","M+H"
481.172068079904,6.14861828897453,"C09959","M+H"
325.104529533001,5.89618887725829,"C10507","M+Na"
1101.30586135412,7.29457840757592,"C06432","M+Na"
62.043998207727,6.14963447377921,"C11348","M+2H"
171.138083505615,5.85060945170457,"C09790","M+H"
161.084258783148,5.39940856531037,"C14307","M+2H"
751.275662536177,6.099521209347,"C07503","2M+H"
245.188973087963,5.72383760152935,"C19974","M+Na"
79.0641484786662,5.85254394473975,"C21642","M+2H"
226.116366572109,6.12599284634755,"C02828","M+2H"
367.096036387828,5.24397527482254,"C06922","M+Na"
1111.62999534692,6.22975665319842,"C19917","2M+H"
203.599307189611,5.3093153743911,"C08166","M+2H"
1109.44286249493,5.1094920409734,"C17686","2M+H"
575.119031971769,6.51817817454784,"C03506","2M+H"
149.131761121368,5.82648762708572,"C16993","M+H"
348.194771133855,5.60997903697754,"C19691","M+Na"
232.107893713793,6.05343269730813,"C19542","M+H"
633.487227617111,5.97201263816274,"C05479","2M+H"
1747.30714742402,6.46029061254903,"C06322","2M+H"
434.024812926738,5.70876704894973,"C11094","M+Na"
261.087796385962,5.56269390106485,"C10313","M+2H"
99.5544774226975,6.09666395237625,"C19253","M+2H"
472.21086784626,5.98133332447428,"C17485","M+Na"
335.23019318132,7.82836490480057,"C17975","M+H"
165.561904642072,6.73707294411923,"C17771","M+2H"
182.043469827724,6.67241310937721,"C06050","M+H"
1078.34200140116,5.252104427551,"C03595","M+Na"
1719.1427620051,4.26184956899736,"C17432","2M+H"
226.587034522707,4.98584723053306,"C14524","M+2H"
103.101646672591,5.32654649898991,"C20179","M+2H"
495.219071276122,6.08062215100406,"C07007","M+H"
447.069417675556,6.70480813908942,"C00570","M+H"
1060.66249876302,3.57811332753495,"C20627","M+Na"
205.012089707809,6.63954228487498,"C12325","M+Na"
132.04206810128,5.72922973693042,"C02720","M+Na"
255.096686885521,5.91536200597027,"C16582","M+H"
246.068948669178,6.8942204759284,"C05560","M+2H"
721.319747472254,5.3420421893899,"C09452","2M+H"
164.580579492443,5.71031626438804,"C05179","M+2H"
247.589401338381,6.11854091824933,"C13269","M+2H"
2400.87964375635,6.12265066559873,"C17343","2M+H"
427.194543341908,5.92769879090964,"C14922","M+Na"
307.155184321967,5.80151292403313,"C09299","M+H"
163.501413434879,5.48297132965963,"C10975","M+2H"
666.303498249143,5.94073424408184,"C11304","M+Na"
789.287165844352,5.79455990938823,"C07593","2M+H"
853.485975613592,4.89183619145184,"C19913","2M+H"
303.207781723454,6.31894330827212,"C03711","2M+H"
553.060080777481,6.75317071987893,"C04234","2M+H"
885.513157128746,5.24594819188591,"C09233","M+Na"
297.701167342393,5.24568491567837,"C16746","M+2H"
359.196404492719,6.45784020313743,"C09642","2M+H"
76.0413231840824,5.56177870279516,"C20697","M+2H"
419.350237540586,5.51831947205815,"C05458","M+H"
48.0081674831385,6.63105138576697,"C00088","M+H"
466.01552429651,6.29912844348352,"C20176","M+Na"
66.5546474418068,6.62535603934842,"C00123","M+2H"
161.069663822478,6.03762548050716,"C06979","M+2H"
203.043100294764,6.32728642629941,"C16623","M+Na"
303.133917774054,6.6557199073153,"C17755","2M+H"
286.230119412616,4.71320289094036,"C20332","M+2H"
281.042776662207,6.29489311903539,"C16838","M+Na"
869.651797746571,3.88878360812432,"C17556","M+Na"
857.030881569201,6.8028321532944,"C00104","2M+H"
937.730307424481,5.37111023482378,"C16950","2M+H"
184.091953149458,6.62032170063985,"C17790","M+2H"
407.096273732633,6.27666786217582,"C10075","M+H"
294.109234906123,6.3729863848435,"C06346","M+Na"
311.062698662833,5.99205402823649,"C17135","M+H"
301.215431735735,5.36028118413986,"C08606","M+2H"
189.121560152219,6.85937437597868,"C02727","M+H"
150.086571631812,5.42440729666532,"C10259","M+2H"
304.15732927854,5.48763683359869,"C01851","M+H"
177.090331555435,5.81176212948873,"C14111","M+H"
210.083957488948,6.31567819108998,"C20234","M+Na"
205.969123817618,6.6724098863801,"C05698","M+Na"
125.06003072389,6.12721911700039,"C20426","M+2H"
192.978069698418,6.65568322378601,"C02914","M+Na"
348.087965682237,5.99458362026759,"C12222","M+H"
152.100463821664,5.81918443792405,"C05290","M+2H"
725.449136089641,5.3396889464855,"C11256","2M+H"
497.21677335356,6.01436937440315,"C20426","2M+H"
91.0396785072664,7.04286380673928,"C01906","M+2H"
287.105380750417,6.32686002123878,"C14852","M+H"
306.160595904345,5.57153113656806,"C10912","M+H"
777.383509019346,5.37027597551752,"C10888","2M+H"
869.470424593095,7.77830514884528,"C05730","2M+H"
799.347589872617,5.77015263472712,"C07592","2M+H"
304.101170464306,6.06084922268037,"C05031","M+Na"
179.124921815385,6.8859811189113,"C06383","2M+H"
276.107078445347,6.45652354855721,"C08328","M+H"
723.251918502376,5.57361650550234,"C09935","M+Na"
125.059709005949,5.86785255188438,"C12456","M+2H"
131.04443275068,6.8332591883928,"C20254","M+H"
132.101232888588,6.94821203700301,"C06418","M+H"
153.055079650361,6.00456642748155,"C13635","M+H"
581.446887899891,6.12486559804346,NA,NA
581.451079102348,6.70006957523261,NA,NA
581.453443526647,7.75099815957363,NA,NA
581.466339434346,5.435062259871,NA,NA
581.45686106136,6.52907124669539,NA,NA
581.460968707824,5.68250121362702,NA,NA
581.44993237555,5.89674556092436,NA,NA
581.461544296387,5.63468038052362,NA,NA
581.46548495561,5.93917999425469,NA,NA
581.467450261326,6.14151172475329,NA,NA
986.240070184845,8.00214982571066,NA,NA
986.254135318209,6.35228944195209,NA,NA
986.259197002206,6.26232742714706,NA,NA
986.281549470517,6.73508202410714,NA,NA
986.272543115898,7.01634423884364,NA,NA
986.276643512994,7.5880539051337,NA,NA
986.272396383863,8.17808171881648,NA,NA
986.230234016585,6.87726699536288,NA,NA
986.254929171582,7.26138550556913,NA,NA
986.239657619324,7.11070377788363,NA,NA
238.140825933177,6.80861818568798,NA,NA
238.140650781154,4.79644879509035,NA,NA
